Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name	Gene type
ENSG00000066056	43766664	43788779	1	TIE1	protein_coding
ENSG00000159588	46085716	46089729	1	CCDC17	protein_coding
ENSG00000257315	203765437	203769686	1	ZBED6	protein_coding
ENSG00000182004	203830731	203839678	1	SNRPE	protein_coding
ENSG00000142798	22148738	22263790	1	HSPG2	protein_coding
ENSG00000014914	149900543	149908791	1	MTMR11	protein_coding
ENSG00000143842	204042243	204096863	1	SOX13	protein_coding
ENSG00000159592	46092976	46153785	1	GPBP1L1	protein_coding
ENSG00000143845	204100190	204121307	1	ETNK2	protein_coding
ENSG00000117400	43803478	43818443	1	MPL	protein_coding
ENSG00000187147	44870866	45117396	1	RNF220	protein_coding
ENSG00000159596	46152886	46160115	1	TMEM69	protein_coding
ENSG00000197429	46159996	46216322	1	IPP	protein_coding
ENSG00000084070	40810522	40888998	1	SMAP2	protein_coding
ENSG00000117399	43824626	43828874	1	CDC20	protein_coding
ENSG00000143839	204123944	204135465	1	REN	protein_coding
ENSG00000086015	46252659	46501796	1	MAST2	protein_coding
ENSG00000170498	204159469	204165614	1	KISS1	protein_coding
ENSG00000174567	204167288	204183220	1	GOLT1A	protein_coding
ENSG00000163113	149909705	149982625	1	OTUD7B	protein_coding
ENSG00000143850	204187979	204346793	1	PLEKHA6	protein_coding
ENSG00000066322	43829068	43833696	1	ELOVL1	protein_coding
ENSG00000158615	204372515	204380919	1	PPP1R15B	protein_coding
ENSG00000187801	40915774	40929390	1	ZFP69B	protein_coding
ENSG00000133056	204391756	204463852	1	PIK3C2B	protein_coding
ENSG00000187815	40942887	40962015	1	ZFP69	protein_coding
ENSG00000159479	43849588	43855479	1	MED8	protein_coding
ENSG00000164002	40974413	40982228	1	EXO5	protein_coding
ENSG00000117461	46505812	46642160	1	PIK3R3	protein_coding
ENSG00000126106	45100910	45140227	1	TMEM53	protein_coding
ENSG00000219073	22303514	22325135	1	CELA3B	protein_coding
ENSG00000136631	150039369	150117505	1	VPS45	protein_coding
ENSG00000117010	40997233	41013841	1	ZNF684	protein_coding
ENSG00000142789	22328149	22339032	1	CELA3A	protein_coding
ENSG00000117472	46640745	46651630	1	TSPAN1	protein_coding
ENSG00000198198	43855553	43918321	1	SZT2	protein_coding
ENSG00000198520	45140364	45191263	1	C1orf228	protein_coding
ENSG00000070831	22379120	22419437	1	CDC42	protein_coding
ENSG00000198625	204485511	204542871	1	MDM4	protein_coding
ENSG00000117016	41086351	41131329	1	RIMS3	protein_coding
ENSG00000085998	46654354	46685977	1	POMGNT1	protein_coding
ENSG00000170382	204586298	204654861	1	LRRN2	protein_coding
ENSG00000066136	41157320	41237275	1	NFYC	protein_coding
ENSG00000162552	22443798	22470462	1	WNT4	protein_coding
ENSG00000184677	22778344	22857650	1	ZBTB40	protein_coding
ENSG00000142945	45205490	45233439	1	KIF2C	protein_coding
ENSG00000023902	150121373	150136916	1	PLEKHO1	protein_coding
ENSG00000070886	22890057	22930087	1	EPHA8	protein_coding
ENSG00000171357	46669006	46686933	1	LURAP1	protein_coding
ENSG00000085999	46713360	46744145	1	RAD54L	protein_coding
ENSG00000132128	46726868	46769280	1	LRRC41	protein_coding
ENSG00000143401	150190717	150208504	1	ANP32E	protein_coding
ENSG00000173372	22962999	22966101	1	C1QA	protein_coding
ENSG00000159189	22970123	22974603	1	C1QC	protein_coding
ENSG00000178922	43916824	43919660	1	HYI	protein_coding
ENSG00000173369	22979255	22988031	1	C1QB	protein_coding
ENSG00000163531	204797779	204991950	1	NFASC	protein_coding
ENSG00000173660	46769303	46782448	1	UQCRH	protein_coding
ENSG00000133216	23037332	23241818	1	EPHB2	protein_coding
ENSG00000117481	46805849	46830824	1	NSUN4	protein_coding
ENSG00000142937	45240923	45244451	1	RPS8	protein_coding
ENSG00000117013	41249684	41306124	1	KCNQ4	protein_coding
ENSG00000117480	46859937	46879520	1	FAAH	protein_coding
ENSG00000118298	150229554	150237478	1	CA14	protein_coding
ENSG00000142959	45249257	45253377	1	BEST4	protein_coding
ENSG00000197587	46972668	46979898	1	DMBX1	protein_coding
ENSG00000173846	45265897	45271662	1	PLK3	protein_coding
ENSG00000162456	47011316	47017199	1	KNCN	protein_coding
ENSG00000142949	43990858	44089343	1	PTPRF	protein_coding
ENSG00000179862	41326729	41328018	1	CITED4	protein_coding
ENSG00000215906	23279536	23291831	1	LACTBL1	protein_coding
ENSG00000227868	23337327	23342343	1	C1orf234	protein_coding
ENSG00000171793	41445007	41478235	1	CTPS1	protein_coding
ENSG00000117362	150237804	150241980	1	APH1A	protein_coding
ENSG00000004487	23345941	23410182	1	KDM1A	protein_coding
ENSG00000079277	47023090	47082515	1	MKNK1	protein_coding
ENSG00000188396	45271585	45272957	1	TCTEX1D4	protein_coding
ENSG00000222009	45274154	45281257	1	BTBD19	protein_coding
ENSG00000184144	205012325	205047627	1	CNTN2	protein_coding
ENSG00000117425	45285516	45308735	1	PTCH2	protein_coding
ENSG00000171790	41481269	41488909	1	SLFNL1	protein_coding
ENSG00000142961	47073387	47082563	1	MOB3C	protein_coding
ENSG00000174529	205052258	205053645	1	TMEM81	protein_coding
ENSG00000117222	205055270	205091143	1	RBBP5	protein_coding
ENSG00000123472	47098409	47139539	1	ATPAF1	protein_coding
ENSG00000010803	41492872	41707826	1	SCMH1	protein_coding
ENSG00000118292	150240600	150253327	1	C1orf54	protein_coding
ENSG00000070785	45316450	45452282	1	EIF2B3	protein_coding
ENSG00000066135	44115829	44171186	1	KDM4A	protein_coding
ENSG00000133059	205111632	205180727	1	DSTYK	protein_coding
ENSG00000159658	47124366	47184824	1	EFCAB14	protein_coding
ENSG00000186118	47134527	47139266	1	TEX38	protein_coding
ENSG00000204060	41827594	41849262	1	FOXO6	protein_coding
ENSG00000133069	205197304	205242471	1	TMCC2	protein_coding
ENSG00000127129	41944446	41950344	1	EDN2	protein_coding
ENSG00000142973	47223510	47285085	1	CYP4B1	protein_coding
ENSG00000159208	150254953	150259505	1	C1orf51	protein_coding
ENSG00000163545	205271187	205290883	1	NUAK2	protein_coding
ENSG00000169641	23410516	23504301	1	LUZP1	protein_coding
ENSG00000127124	41972036	42501596	1	HIVEP3	protein_coding
ENSG00000179546	23516993	23521222	1	HTR1D	protein_coding
ENSG00000162873	205305220	205326218	1	KLHDC8A	protein_coding
ENSG00000187145	150266289	150281414	1	MRPS21	protein_coding
ENSG00000126107	45468212	45477001	1	HECTD3	protein_coding
ENSG00000125944	23630264	23670829	1	HNRNPR	protein_coding
ENSG00000186007	205350506	205425082	1	LEMD1	protein_coding
ENSG00000044012	42619092	42621495	1	GUCA2B	protein_coding
ENSG00000187048	47394849	47407156	1	CYP4A11	protein_coding
ENSG00000197273	42628362	42630389	1	GUCA2A	protein_coding
ENSG00000198815	42642210	42801548	1	FOXJ3	protein_coding
ENSG00000117360	150293925	150325671	1	PRPF3	protein_coding
ENSG00000117266	205473723	205501921	1	CDK18	protein_coding
ENSG00000186377	47427036	47516423	1	CYP4X1	protein_coding
ENSG00000125945	23685941	23695935	1	ZNF436	protein_coding
ENSG00000249087	23695490	23698332	1	C1orf213	protein_coding
ENSG00000204219	23707554	23751233	1	TCEA3	protein_coding
ENSG00000177181	42846466	42888249	1	RIMKLA	protein_coding
ENSG00000186160	47533160	47583991	1	CYP4Z1	protein_coding
ENSG00000066185	42896000	42921938	1	ZMYND12	protein_coding
ENSG00000162365	47603107	47615413	1	CYP4A22	protein_coding
ENSG00000126088	45477819	45481247	1	UROD	protein_coding
ENSG00000127125	42921788	42939056	1	PPCS	protein_coding
ENSG00000126091	44171495	44396831	1	ST3GAL3	protein_coding
ENSG00000162366	47649265	47656716	1	PDZK1IP1	protein_coding
ENSG00000162367	47681962	47697892	1	TAL1	protein_coding
ENSG00000186092	69091	70008	1	OR4F5	protein_coding
ENSG00000088280	23755056	23811061	1	ASAP3	protein_coding
ENSG00000237683	134901	139379	1	AL627309.1	protein_coding
ENSG00000235249	367640	368634	1	OR4F29	protein_coding
ENSG00000185097	621059	622053	1	OR4F16	protein_coding
ENSG00000187634	860260	879955	1	SAMD11	protein_coding
ENSG00000186409	42929001	43120335	1	CCDC30	protein_coding
ENSG00000174514	205538013	205572046	1	MFSD4	protein_coding
ENSG00000123473	47715811	47779819	1	STIL	protein_coding
ENSG00000158711	205577071	205601090	1	ELK4	protein_coding
ENSG00000163125	150335567	150449042	1	RPRD2	protein_coding
ENSG00000158715	205626979	205649587	1	SLC45A3	protein_coding
ENSG00000069275	205681947	205719404	1	NUCKS1	protein_coding
ENSG00000171960	43124096	43142429	1	PPIH	protein_coding
ENSG00000162368	47799469	47844511	1	CMPK1	protein_coding
ENSG00000117280	205737114	205744588	1	RAB7L1	protein_coding
ENSG00000186790	47881744	47883723	1	FOXE3	protein_coding
ENSG00000186564	47901689	47906363	1	FOXD2	protein_coding
ENSG00000269113	48226200	48462567	1	TRABD2B	protein_coding
ENSG00000065978	43148098	43168020	1	YBX1	protein_coding
ENSG00000117834	48688357	48714316	1	SLC5A9	protein_coding
ENSG00000133065	205758221	205782876	1	SLC41A1	protein_coding
ENSG00000188976	879584	894689	1	NOC2L	protein_coding
ENSG00000162415	45482071	45771881	1	ZSWIM5	protein_coding
ENSG00000186603	45792545	45794347	1	HPDL	protein_coding
ENSG00000143374	150459887	150480078	1	TARS2	protein_coding
ENSG00000162877	205797150	205819260	1	PM20D1	protein_coding
ENSG00000187961	895967	901095	1	KLHL17	protein_coding
ENSG00000007968	23832922	23857712	1	E2F2	protein_coding
ENSG00000117318	23884409	23886285	1	ID3	protein_coding
ENSG00000132122	48761044	48937845	1	SPATA6	protein_coding
ENSG00000187583	901877	911245	1	PLEKHN1	protein_coding
ENSG00000174502	205882176	205912588	1	SLC26A9	protein_coding
ENSG00000142676	24018269	24022915	1	RPL11	protein_coding
ENSG00000164007	43198764	43205925	1	CLDN19	protein_coding
ENSG00000187642	910579	917497	1	C1orf170	protein_coding
ENSG00000186094	48998527	50489585	1	AGBL4	protein_coding
ENSG00000196550	206136916	206155151	1	FAM72A	protein_coding
ENSG00000162373	49193195	49242641	1	BEND5	protein_coding
ENSG00000117385	43212006	43232755	1	LEPRE1	protein_coding
ENSG00000198049	206223976	206231639	1	AVPR1B	protein_coding
ENSG00000188290	934342	935552	1	HES4	protein_coding
ENSG00000196533	206238872	206288647	1	C1orf186	protein_coding
ENSG00000187608	948803	949920	1	ISG15	protein_coding
ENSG00000196188	206317459	206332104	1	CTSE	protein_coding
ENSG00000117407	44398992	44402913	1	ARTN	protein_coding
ENSG00000188157	955503	991496	1	AGRN	protein_coding
ENSG00000132781	45794835	45806142	1	MUTYH	protein_coding
ENSG00000162374	50513686	50669458	1	ELAVL4	protein_coding
ENSG00000011007	24069645	24088549	1	TCEB3	protein_coding
ENSG00000143369	150480538	150486265	1	ECM1	protein_coding
ENSG00000163486	206516200	206637783	1	SRGAP2	protein_coding
ENSG00000117408	44412611	44433694	1	IPO13	protein_coding
ENSG00000057757	24104895	24114722	1	PITHD1	protein_coding
ENSG00000142700	50883222	50889172	1	DMRTA2	protein_coding
ENSG00000011009	24117460	24122029	1	LYPLA2	protein_coding
ENSG00000185104	50905150	51425935	1	FAF1	protein_coding
ENSG00000143466	206643791	206670223	1	IKBKE	protein_coding
ENSG00000132768	44435672	44439041	1	DPH2	protein_coding
ENSG00000123080	51426417	51440305	1	CDKN2C	protein_coding
ENSG00000237330	1006346	1009687	1	RNF223	protein_coding
ENSG00000136653	206680879	206762616	1	RASSF5	protein_coding
ENSG00000204006	51567906	51613752	1	C1orf185	protein_coding
ENSG00000123091	51701943	51739127	1	RNF11	protein_coding
ENSG00000131591	1017198	1051741	1	C1orf159	protein_coding
ENSG00000143486	206744620	206785904	1	EIF2D	protein_coding
ENSG00000117410	44440159	44443967	1	ATP6V0B	protein_coding
ENSG00000143382	150521884	150533413	1	ADAMTSL4	protein_coding
ENSG00000085831	51752930	51810788	1	TTC39A	protein_coding
ENSG00000143479	206808881	206857764	1	DYRK3	protein_coding
ENSG00000117308	24122089	24127271	1	GALE	protein_coding
ENSG00000117411	44444615	44456840	1	B4GALT2	protein_coding
ENSG00000162889	206858289	206907628	1	MAPKAPK2	protein_coding
ENSG00000136634	206940947	206945839	1	IL10	protein_coding
ENSG00000142224	206972215	207016324	1	IL19	protein_coding
ENSG00000132773	45805342	45809647	1	TOE1	protein_coding
ENSG00000143384	150547032	150552066	1	MCL1	protein_coding
ENSG00000162891	207038699	207042568	1	IL20	protein_coding
ENSG00000162571	1109264	1133315	1	TTLL10	protein_coding
ENSG00000085832	51819935	51985000	1	EPS15	protein_coding
ENSG00000162892	207070788	207077484	1	IL24	protein_coding
ENSG00000117305	24128375	24165110	1	HMGCL	protein_coding
ENSG00000070759	45809555	45956872	1	TESK2	protein_coding
ENSG00000162894	207077731	207096592	1	FAIM3	protein_coding
ENSG00000179163	24171567	24194784	1	FUCA1	protein_coding
ENSG00000143420	150573327	150602088	1	ENSA	protein_coding
ENSG00000162896	207101863	207119811	1	PIGR	protein_coding
ENSG00000188822	24197016	24285549	1	CNR2	protein_coding
ENSG00000189266	24285599	24289952	1	PNRC2	protein_coding
ENSG00000162897	207131310	207143970	1	FCAMR	protein_coding
ENSG00000186891	1138888	1142071	1	TNFRSF18	protein_coding
ENSG00000182795	207191866	207206101	1	C1orf116	protein_coding
ENSG00000186827	1146706	1149518	1	TNFRSF4	protein_coding
ENSG00000180667	207217194	207226325	1	YOD1	protein_coding
ENSG00000188529	24291294	24307417	1	SRSF10	protein_coding
ENSG00000078808	1152288	1167411	1	SDF4	protein_coding
ENSG00000143457	150618701	150669630	1	GOLPH3L	protein_coding
ENSG00000123836	207222801	207254369	1	PFKFB2	protein_coding
ENSG00000123843	207262187	207273338	1	C4BPB	protein_coding
ENSG00000143452	150670536	150693364	1	HORMAD1	protein_coding
ENSG00000176022	1167629	1170421	1	B3GALT6	protein_coding
ENSG00000184163	1177826	1182102	1	FAM132A	protein_coding
ENSG00000123838	207277607	207318317	1	C4BPA	protein_coding
ENSG00000117859	52042851	52254889	1	OSBPL9	protein_coding
ENSG00000160087	1189289	1209265	1	UBE2J2	protein_coding
ENSG00000142661	24382525	24438665	1	MYOM3	protein_coding
ENSG00000196352	207494853	207534311	1	CD55	protein_coding
ENSG00000163131	150702672	150738433	1	CTSS	protein_coding
ENSG00000117322	207627575	207663240	1	CR2	protein_coding
ENSG00000142677	24446261	24469611	1	IL22RA1	protein_coding
ENSG00000143387	150768684	150780799	1	CTSK	protein_coding
ENSG00000185436	24480647	24514449	1	IFNLR1	protein_coding
ENSG00000162572	1215816	1227409	1	SCNN1D	protein_coding
ENSG00000158055	24645812	24690972	1	GRHL3	protein_coding
ENSG00000203710	207669492	207813992	1	CR1	protein_coding
ENSG00000131584	1227756	1244989	1	ACAP3	protein_coding
ENSG00000197721	207818458	207911761	1	CR1L	protein_coding
ENSG00000078618	52254863	52344477	1	NRD1	protein_coding
ENSG00000001460	24683489	24743424	1	STPG1	protein_coding
ENSG00000143437	150782181	150849244	1	ARNT	protein_coding
ENSG00000001461	24742284	24799466	1	NIPAL3	protein_coding
ENSG00000117335	207925402	207968858	1	CD46	protein_coding
ENSG00000169972	1243947	1247057	1	PUSL1	protein_coding
ENSG00000169213	52373628	52456436	1	RAB3B	protein_coding
ENSG00000117602	24829387	24867530	1	RCAN3	protein_coding
ENSG00000117862	52485803	52521843	1	TXNDC12	protein_coding
ENSG00000184454	24882602	24935819	1	NCMAP	protein_coding
ENSG00000198841	52497775	52499488	1	KTI12	protein_coding
ENSG00000133226	24958207	24999758	1	SRRM1	protein_coding
ENSG00000134717	52521797	52556388	1	BTF3L4	protein_coding
ENSG00000174059	208057594	208084747	1	CD34	protein_coding
ENSG00000157077	52608046	52812358	1	ZFYVE9	protein_coding
ENSG00000143379	150898739	150937213	1	SETDB1	protein_coding
ENSG00000127054	1246965	1260071	1	CPSF3L	protein_coding
ENSG00000076356	208195587	208417665	1	PLXNA2	protein_coding
ENSG00000154222	52811395	52831865	1	CC2D1B	protein_coding
ENSG00000169504	25071848	25170815	1	CLIC4	protein_coding
ENSG00000008118	209757062	209787283	1	CAMK1G	protein_coding
ENSG00000085840	52838501	52870131	1	ORC1	protein_coding
ENSG00000143418	150933059	150947479	1	CERS2	protein_coding
ENSG00000196878	209788215	209825811	1	LAMB3	protein_coding
ENSG00000134748	52870236	52886511	1	PRPF38A	protein_coding
ENSG00000123689	209848765	209849733	1	G0S2	protein_coding
ENSG00000117594	209859510	209908295	1	HSD11B1	protein_coding
ENSG00000009790	209929377	209955668	1	TRAF3IP3	protein_coding
ENSG00000143412	150954493	150968110	1	ANXA9	protein_coding
ENSG00000134744	52873954	53019159	1	ZCCHC11	protein_coding
ENSG00000162757	209955661	209957904	1	C1orf74	protein_coding
ENSG00000117595	209959036	209979465	1	IRF6	protein_coding
ENSG00000143409	150969025	150980851	1	FAM63A	protein_coding
ENSG00000117597	210001352	210030910	1	DIEXF	protein_coding
ENSG00000224051	1260136	1264277	1	GLTPD1	protein_coding
ENSG00000116157	53068044	53074723	1	GPX7	protein_coding
ENSG00000143469	210111538	210337636	1	SYT14	protein_coding
ENSG00000182183	53099016	53135355	1	FAM159A	protein_coding
ENSG00000162377	53152508	53164038	1	COA7	protein_coding
ENSG00000169962	1266694	1270686	1	TAS1R3	protein_coding
ENSG00000162378	53192126	53293014	1	ZYG11B	protein_coding
ENSG00000107404	1270656	1284730	1	DVL1	protein_coding
ENSG00000082497	210406144	210419976	1	SERTAD4	protein_coding
ENSG00000203995	53308183	53360670	1	ZYG11A	protein_coding
ENSG00000054392	210501596	210849638	1	HHAT	protein_coding
ENSG00000143363	150980896	151008189	1	PRUNE	protein_coding
ENSG00000121310	53361656	53392884	1	ECHDC2	protein_coding
ENSG00000020633	25226002	25291612	1	RUNX3	protein_coding
ENSG00000143473	210856555	211307457	1	KCNH1	protein_coding
ENSG00000117614	25549170	25558993	1	SYF2	protein_coding
ENSG00000117625	211431719	211489727	1	RCOR3	protein_coding
ENSG00000162576	1288069	1297157	1	MXRA8	protein_coding
ENSG00000116171	53392901	53517375	1	SCP2	protein_coding
ENSG00000163141	151009046	151020076	1	BNIPL	protein_coding
ENSG00000082512	211499957	211548288	1	TRAF5	protein_coding
ENSG00000175756	1309110	1310875	1	AURKAIP1	protein_coding
ENSG00000198570	211649864	211666259	1	RD3	protein_coding
ENSG00000170385	211744910	211752084	1	SLC30A1	protein_coding
ENSG00000143443	151020216	151024462	1	C1orf56	protein_coding
ENSG00000117650	211836114	211848960	1	NEK2	protein_coding
ENSG00000174348	53527854	53551174	1	PODN	protein_coding
ENSG00000197622	151023447	151042801	1	CDC42SE1	protein_coding
ENSG00000123684	211916799	212004114	1	LPGAT1	protein_coding
ENSG00000162383	53552855	53608289	1	SLC1A7	protein_coding
ENSG00000213190	151030234	151040970	1	MLLT11	protein_coding
ENSG00000157184	53662101	53679869	1	CPT2	protein_coding
ENSG00000162384	53679771	53686289	1	C1orf123	protein_coding
ENSG00000143493	212113741	212208884	1	INTS7	protein_coding
ENSG00000143458	151043054	151098018	1	GABPB2	protein_coding
ENSG00000221978	1321091	1334708	1	CCNL2	protein_coding
ENSG00000162385	53692564	53704282	1	MAGOH	protein_coding
ENSG00000117616	25568728	25664704	1	C1orf63	protein_coding
ENSG00000157193	53711217	53793742	1	LRP8	protein_coding
ENSG00000143434	151104161	151119104	1	SEMA6C	protein_coding
ENSG00000143476	212208919	212280742	1	DTL	protein_coding
ENSG00000143006	53925072	53933161	1	DMRTB1	protein_coding
ENSG00000066027	212458879	212535200	1	PPP2R5A	protein_coding
ENSG00000187010	25598884	25656936	1	RHD	protein_coding
ENSG00000242485	1337288	1342693	1	MRPL20	protein_coding
ENSG00000174332	53971910	54199877	1	GLIS1	protein_coding
ENSG00000065600	212537273	212588243	1	TMEM206	protein_coding
ENSG00000235098	1353800	1357149	1	ANKRD65	protein_coding
ENSG00000163154	151129105	151132225	1	TNFAIP8L2	protein_coding
ENSG00000117691	212606229	212619714	1	NENF	protein_coding
ENSG00000058804	54231133	54304533	1	NDC1	protein_coding
ENSG00000163156	151129140	151142773	1	SCNM1	protein_coding
ENSG00000162772	212738676	212794119	1	ATF3	protein_coding
ENSG00000205116	1361508	1363167	1	TMEM88B	protein_coding
ENSG00000179403	1370241	1378262	1	VWA1	protein_coding
ENSG00000162771	212797789	212800120	1	FAM71A	protein_coding
ENSG00000123685	212859760	212873327	1	BATF3	protein_coding
ENSG00000215915	1385069	1405538	1	ATAD3C	protein_coding
ENSG00000163155	151132224	151138424	1	LYSMD1	protein_coding
ENSG00000160072	1407143	1433228	1	ATAD3B	protein_coding
ENSG00000117697	212899495	212965124	1	NSL1	protein_coding
ENSG00000163157	151142462	151148760	1	TMOD4	protein_coding
ENSG00000203705	212965170	212989968	1	TATDN3	protein_coding
ENSG00000058799	54317392	54356407	1	YIPF1	protein_coding
ENSG00000163159	151142463	151167797	1	VPS72	protein_coding
ENSG00000211452	54356912	54376759	1	DIO1	protein_coding
ENSG00000185523	213003483	213020991	1	C1orf227	protein_coding
ENSG00000162769	213031597	213072705	1	FLVCR1	protein_coding
ENSG00000081870	54382247	54411602	1	HSPB11	protein_coding
ENSG00000183726	25664408	25688852	1	TMEM50A	protein_coding
ENSG00000143494	213123862	213165379	1	VASH2	protein_coding
ENSG00000197785	1447531	1470067	1	ATAD3A	protein_coding
ENSG00000143398	151170425	151222012	1	PIP5K1A	protein_coding
ENSG00000116212	54411750	54433841	1	LRRC42	protein_coding
ENSG00000174606	213165524	213189168	1	ANGEL2	protein_coding
ENSG00000203985	54474412	54483856	1	LDLRAD1	protein_coding
ENSG00000205090	1470554	1475833	1	TMEM240	protein_coding
ENSG00000160075	1477053	1510249	1	SSU72	protein_coding
ENSG00000116209	54497347	54519177	1	TMEM59	protein_coding
ENSG00000228594	1533392	1535476	1	C1orf233	protein_coding
ENSG00000136643	213224589	213448116	1	RPS6KC1	protein_coding
ENSG00000159352	151227179	151239955	1	PSMD4	protein_coding
ENSG00000116205	54519260	54578192	1	TCEANC2	protein_coding
ENSG00000117707	214156524	214214595	1	PROX1	protein_coding
ENSG00000188672	25688740	25756683	1	RHCE	protein_coding
ENSG00000157211	54598747	54619443	1	CDCP2	protein_coding
ENSG00000143499	214454445	214510474	1	SMYD2	protein_coding
ENSG00000215883	54638009	54665709	1	CYB5RL	protein_coding
ENSG00000143373	151254094	151264656	1	ZNF687	protein_coding
ENSG00000116221	54649714	54691137	1	MRPL37	protein_coding
ENSG00000197530	1550795	1565990	1	MIB2	protein_coding
ENSG00000157216	54691105	54879152	1	SSBP3	protein_coding
ENSG00000152104	214522039	214725792	1	PTPN14	protein_coding
ENSG00000143393	151264273	151300191	1	PI4KB	protein_coding
ENSG00000117724	214776538	214837931	1	CENPF	protein_coding
ENSG00000162390	55007930	55104865	1	ACOT11	protein_coding
ENSG00000204178	25757388	25826700	1	TMEM57	protein_coding
ENSG00000157978	25870071	25895377	1	LDLRAP1	protein_coding
ENSG00000082482	215179118	215410436	1	KCNK2	protein_coding
ENSG00000162391	55074855	55089229	1	FAM151A	protein_coding
ENSG00000136636	215740735	215795149	1	KCTD3	protein_coding
ENSG00000184313	55107463	55175939	1	MROH7	protein_coding
ENSG00000143390	151313116	151319833	1	RFX5	protein_coding
ENSG00000042781	215796236	216596738	1	USH2A	protein_coding
ENSG00000117643	25943959	26112698	1	MAN1C1	protein_coding
ENSG00000243725	55181495	55208330	1	TTC4	protein_coding
ENSG00000189409	1567474	1570639	1	MMP23B	protein_coding
ENSG00000162396	55222571	55230187	1	PARS2	protein_coding
ENSG00000006555	55245385	55266940	1	TTC22	protein_coding
ENSG00000196482	216676588	217311097	1	ESRRG	protein_coding
ENSG00000162430	26126667	26144713	1	SEPN1	protein_coding
ENSG00000162398	55271736	55307925	1	C1orf177	protein_coding
